رمز الشركة,اسم الشركة,السوق,السعر,التغير الشهري,أعلى سعر سنوي,أدنى سعر سنوي,القيمة السوقية,تاريخ الادراج,مكرر الربحية,مكرر الربحية المتوقع,صافي الربح,نمو صافي الربح,مكرر المبيعات,نمو المبيعات,نمو التدفقات النقدية,مكرر التدفقات النقدية,العائد على حقوق الملكية,العائد على راس المال المستثمر,توزيعات الأرباح,نسبة التوزيعات من الأرباح,نمو التوزيعات,تقييم التوزيعات,,
4130.SR, الباحة , تداول , 3.31 ,-8.06%, 6.26 , 1.50 ," 722,556,450 ",03/03/2010, 82.75 , غير متوفر ," 8,630,778 ",140%, 39.92 ,13%,-16%, 90.75 ,4%,4%,0.00%,0.00%,0.00%,NA,,
9531.SR, العبيكان للزجاج , نمو , 30.30 ,-20.26%, 67.20 , 28.50 ," 968,950,913 ",10/05/2022, 41.51 , غير متوفر ," 29,138,601 ",-62%, 2.86 ,-22%,9%, 69.87 ,5%,4%,0.00%,219.64%,-100.00%,NA,,
9616.SR, جنى , نمو , 17.90 ,-47.35%, 45.00 , 17.40 , Unavailable ,01/12/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9608.SR, الأشغال الميسرة , نمو , 54.80 ,-22.16%, 76.00 , 48.00 , Unavailable ,24/07/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9544.SR, الرعاية المستقبلية , نمو , 6.30 ,-19.54%, 18.86 , 6.17 ," 3,150,000,000 ",02/08/2022, 315.00 , غير متوفر ," 12,922,322 ",-28%, 59.54 ,5%,-92%, 286.46 ,16%,15%,0.00%,0.00%,0.00%,NA,,
8260.SR, الخليجية العامة , تداول , 8.86 ,-3.28%, 16.94 , 7.23 ," 265,800,000 ",03/03/2010, غير متوفر , غير متوفر ," (94,207,000)",-2767%, 0.64 ,10%,-218%, سالب ,-33%,0%,0.00%,حققت خسائر,0.00%,NA,,
9589.SR, فاد , نمو , 85.00 ,-15.84%, 120.00 , 67.00 ," 102,000,000 ",28/11/2023, غير متوفر , غير متوفر ," 22,632,981 ",-98%, 0.65 ,-4%,-40%, 1.90 ,84%,42%,0.00%,0.00%,15.15%,NA,,
9602.SR, يقين , نمو , 20.70 ,-19.77%, 41.00 , 19.98 , Unavailable ,26/06/2024, 14.48 , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
4324.SR, بنان , تداول , 5.53 ,-11.09%, 9.05 , 5.06 , Unavailable ,01/12/2024, 32.53 , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9524.SR, آيكتك , نمو , 2.99 ,-12.06%, 5.40 , 2.90 ," 191,360,000 ",18/04/2022, 49.83 , غير متوفر ," 3,761,209 ",-59%, 3.86 ,13%,-30%, سالب ,9%,7%,0.00%,0.00%,0.00%,NA,,
6012.SR, ريدان , تداول , 18.68 ,-9.76%, 34.90 , 15.54 ," 295,302,164 ",21/11/2019, غير متوفر , غير متوفر ," (44,113,134)",-25%, 1.89 ,11%,83%, 33.68 ,-30%,-22%,0.00%,حققت خسائر,0.00%,NA,,
4230.SR, البحر الأحمر , تداول , 46.25 ,6.32%, 80.00 , 23.80 ," 1,398,341,000 ",03/03/2010, غير متوفر , غير متوفر ," 16,153,000 ",82%, 0.44 ,229%,-13%, 21.14 ,24%,17%,0.00%,0.00%,0.00%,NA,,
9609.SR, بترول ناس , نمو , 57.00 ,-16.18%, 80.00 , 35.70 , Unavailable ,28/08/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9607.SR, عسق , تداول , 57.00 ,-15.05%, 69.90 , 46.30 , Unavailable ,18/08/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9622.SR, شموع الماضي , نمو , 16.00 ,-0.25%, 24.88 , 13.70 , Unavailable ,13/01/2025, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
4071.SR, العربية , تداول , 118.40 ,-7.64%, 219.09 , 111.20 ," 6,512,000,000 ",20/12/2021, 23.92 , 14.00 ," 271,898,449 ",16%, 4.24 ,14%,-48%, سالب ,22%,11%,0.00%,13.24%,-70.23%,NA,,
9522.SR, الحاسوب , نمو , 52.60 ,-13.34%, 84.00 , 42.00 ," 147,280,000 ",20/12/2021, 78.51 , غير متوفر ," 1,883,176 ",-74%, 0.60 ,4%,267%, سالب ,5%,5%,0.00%,0.00%,0.00%,NA,,
9597.SR, الليف , نمو , 94.90 ,-22.21%, 137.40 , 45.20 , Unavailable ,27/06/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2070.SR, الدوائية , تداول , 24.60 ,-10.71%, 39.90 , 20.94 ," 2,936,133,000 ",03/03/2010, 117.14 , 15.38 ," 31,995,000 ",333%, 1.75 ,2%,-472%, سالب ,2%,2%,0.00%,8.68%,-100.00%,NA,,
6090.SR, جازادكو , تداول , 11.94 ,-6.86%, 17.14 , 9.92 ," 597,000,000 ",03/03/2010, غير متوفر , غير متوفر ," (89,163,744)",-90%, 7.39 ,8%,55%, سالب ,-19%,-7%,0.00%,حققت خسائر,4798.41%,NA,,
9572.SR, الرازي , نمو , 44.85 ,-13.92%, 70.00 , 41.10 ," 68,172,000 ",22/06/2023, 747.50 , غير متوفر ," 89,776 ",-66%, 1.46 ,17%,167%, 66.84 ,0%,0%,0.00%,599.38%,27.68%,NA,,
2370.SR, مسك , تداول , 35.25 ,-10.31%, 48.05 , 28.90 ," 1,410,000,000 ",04/03/2010, 17.80 , غير متوفر ," 79,184,225 ",515%, 1.29 ,14%,245%, 310.63 ,19%,21%,0.00%,0.00%,0.00%,NA,,
4110.SR, باتك , تداول , 2.34 ,-8.59%, 4.10 , 2.15 ," 1,404,000,000 ",04/03/2010, غير متوفر , غير متوفر ," (7,746,468)",57%, 2.84 ,12%,-58%, 23.18 ,-2%,3%,0.00%,حققت خسائر,0.00%,NA,,
2050.SR, مجموعة صافولا , تداول , 30.70 ,0.66%, 40.60 , 24.00 ," 9,102,194,985 ",03/03/2010, 2.56 , 12.45 ," 9,974,266,000 ",1009%, 0.38 ,-11%,-55%, 11.06 ,109%,7%,0.00%,0.03%,-99.37%,NA,,
2200.SR, أنابيب , تداول , 9.56 ,-13.87%, 14.60 , 8.37 ," 1,434,000,000 ",04/03/2010, 8.54 , 6.57 ," 168,180,000 ",27%, 1.26 ,6%,575%, 17.37 ,47%,34%,0.00%,0.00%,0.00%,NA,,
9514.SR, الناقول , نمو , 36.30 ,-21.43%, 60.00 , 32.20 ," 105,270,000 ",13/11/2022, 68.49 , غير متوفر ," (246,168)",-103%, 1.96 ,0%,54%, 56.32 ,0%,-2%,0.00%,حققت خسائر,0.00%,NA,,
9555.SR, لين الخير , نمو , 18.98 ,-12.13%, 27.00 , 18.00 ," 154,868,449 ",17/01/2023, 19.37 , غير متوفر ," 10,037,307 ",-48%, 0.61 ,10%,-945%, سالب ,5%,4%,0.00%,0.00%,0.00%,NA,,
6040.SR, تبوك الزراعية , تداول , 12.16 ,-6.17%, 19.98 , 10.40 ," 476,388,672 ",04/03/2010, غير متوفر , غير متوفر ," (68,510,484)",247%, 10.14 ,-21%,42%, سالب ,-22%,-16%,0.00%,حققت خسائر,-25.79%,NA,,
4080.SR, سناد القابضة , تداول , 11.78 ,-6.06%, 16.10 , 10.40 ," 1,488,861,065 ",03/03/2010, غير متوفر , غير متوفر ," (3,854,909)",97%, 0.85 ,8%,33%, سالب ,0%,2%,0.00%,حققت خسائر,-12.43%,NA,,
4193.SR, نايس ون , تداول , 39.70 ,1.53%, 69.70 , 32.00 , Unavailable ,08/01/2025, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9567.SR, غذاء السلطان , نمو , 44.90 ,-8.37%, 71.00 , 40.70 ," 143,680,000 ",13/04/2023, 16.82 , غير متوفر ," 8,542,299 ",-59%, 0.83 ,14%,-16%, 7.45 ,13%,7%,0.00%,0.00%,-100.00%,NA,,
8230.SR, تكافل الراجحي , تداول , 132.00 ,-2.94%, 230.00 , 117.00 ," 13,200,000,000 ",04/03/2010, 39.64 , غير متوفر ," 332,343,000 ",1%, 2.34 ,41%,-133%, سالب ,17%,53201%,0.00%,0.00%,0.00%,NA,,
4020.SR, العقارية , تداول , 23.14 ,-5.40%, 29.95 , 18.10 ," 8,677,500,000 ",03/03/2010, 40.60 , 18.71 ," 215,001,000 ",218%, 4.28 ,13%,747%, 12.35 ,4%,5%,0.00%,0.00%,0.00%,NA,,
8311.SR, عناية , تداول , 10.32 ,0.00%, 19.40 , 8.65 ," 237,360,000 ",02/04/2012, غير متوفر , غير متوفر ," (26,762,000)",-232%, 1.01 ,-14%,-122%, سالب ,-14%,0%,0.00%,حققت خسائر,0.00%,NA,,
9538.SR, نسيج للتقنية , نمو , 53.20 ,-15.56%, 81.90 , 52.00 ," 266,000,000 ",31/05/2022, 26.60 , غير متوفر ," 15,463,420 ",-40%, 1.17 ,0%,36%, سالب ,8%,7%,0.00%,1.06%,0.00%,NA,,
8240.SR, تشب , تداول , 43.30 ,3.10%, 59.60 , 24.36 ," 1,299,000,000 ",03/03/2010, 66.62 , غير متوفر ," 16,292,477 ",-34%, 3.73 ,-10%,-63%, 89.38 ,4%,31%,0.00%,0.00%,0.00%,NA,,
4061.SR, أنعام القابضة , تداول , 17.48 ,1.04%, 31.00 , 14.08 ," 550,620,000 ",03/03/2010, غير متوفر , غير متوفر ," 7,169,314 ",139%, 12.02 ,69%,41%, سالب ,2%,8%,0.00%,0.20%,0.00%,NA,,
4262.SR, لومي , تداول , 62.60 ,-7.81%, 99.40 , 55.90 ," 3,443,000,000 ",25/09/2023, 19.09 , 10.91 ," 180,166,165 ",12%, 2.18 ,40%,72%, سالب ,16%,13%,0.00%,0.00%,0.00%,NA,,
1213.SR, نسيج , تداول , 86.20 ,2.62%, 115.40 , 64.60 ," 939,347,346 ",16/03/2010, غير متوفر , غير متوفر ," (42,594,000)",-167%, 4.77 ,-24%,20%, 27.80 ,-57%,0%,0.00%,حققت خسائر,0.00%,NA,,
4017.SR, فقيه الطبية , تداول , 45.60 ,-11.28%, 72.90 , 43.70 , Unavailable ,05/06/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9621.SR, دي آر سي , نمو , 60.10 ,-14.14%, 88.00 , 53.30 , Unavailable ,11/12/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
4009.SR, السعودي الألماني الصحية , تداول , 64.70 ,-7.17%, 95.90 , 54.50 ," 5,954,988,000 ",29/03/2016, 21.14 , غير متوفر ," 281,997,230 ",57%, 2.07 ,9%,794%, 26.65 ,17%,9%,0.00%,0.00%,0.00%,NA,,
8280.SR, ليفا , تداول , 14.76 ,-3.40%, 22.10 , 12.84 ," 590,400,000 ",03/03/2010, 20.79 , غير متوفر ," 32,761,000 ",191%, 1.24 ,9%,220%, 15.78 ,8%,34%,0.00%,0.00%,0.00%,NA,,
2140.SR, أبان , تداول , 15.40 ,-9.41%, 22.44 , 13.58 ," 1,549,799,482 ",04/03/2010, غير متوفر , غير متوفر ," (164,408,943)",24%, 7.30 ,-95%,-197%, سالب ,-33%,-15%,0.00%,حققت خسائر,0.00%,NA,,
9530.SR, طبية , نمو , 32.50 ,-16.13%, 45.45 , 31.10 ," 643,175,000 ",10/03/2022, 21.67 , غير متوفر ," 59,519,890 ",86%, 0.84 ,26%,-92%," 2,734.60 ",10%,1%,0.00%,0.00%,-66.70%,NA,,
2001.SR, كيمانول , تداول , 12.72 ,-8.88%, 19.10 , 11.36 ," 857,975,066 ",03/03/2010, غير متوفر , غير متوفر ," (274,728,973)",-53%, 1.21 ,-2%,-180%, سالب ,-29%,-17%,0.00%,حققت خسائر,0.00%,NA,,
4270.SR, طباعة وتغليف , تداول , 12.80 ,24.03%, 15.78 , 8.61 ," 768,000,000 ",03/03/2010, غير متوفر , غير متوفر ," (219,413,000)",-66%, 1.06 ,-7%,-37%, 23.51 ,-50%,3%,0.00%,حققت خسائر,0.00%,NA,,
2100.SR, وفرة , تداول , 32.30 ,-3.00%, 52.00 , 27.10 ," 747,780,724 ",04/03/2010, 31.67 , غير متوفر ," 5,039,942 ",-76%, 4.63 ,0%,48%, سالب ,2%,6%,0.00%,0.00%,-100.00%,NA,,
4072.SR, مجموعة ام بي سي , تداول , 40.35 ,-15.05%, 60.50 , 36.45 ," 13,416,375,000 ",08/01/2024, 33.63 , 28.29 ," 396,715,000 ",1394%, 3.20 ,65%,131%, 24.86 ,10%,3%,0.00%,0.00%,0.00%,NA,,
9520.SR, -   , -   , 20.48 ,-8.65%, 22.90 , 8.90 ," 716,800,000 ",30/09/2021, 45.51 , غير متوفر ," 18,640,612 ",356%, 1.93 ,12%,136%, 26.65 ,26%,23%,0.00%,26.29%,0.00%,NA,,
9547.SR, رواسي , نمو , 4.48 ,-14.18%, 5.83 , 3.60 ," 246,400,000 ",21/08/2022, غير متوفر , غير متوفر ," 8,115,133 ",9%, 2.12 ,21%,-149%, سالب ,3%,8%,0.00%,0.00%,0.00%,NA,,
9623.SR, مصنع البتال , نمو , 46.00 ,-17.12%, 70.00 , 45.90 , Unavailable ,31/12/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
4250.SR, جبل عمر , تداول , 24.78 ,-5.24%, 29.70 , 19.96 ," 29,240,969,940 ",03/03/2010, 145.76 , غير متوفر ," 200,106,000 ",434%, 15.36 ,43%,39%, سالب ,2%,3%,0.00%,0.00%,0.00%,NA,,
9560.SR, وجا , نمو , 7.38 ,-9.67%, 8.20 , 6.00 ," 516,600,000 ",29/03/2023, 20.50 , غير متوفر ," 24,947,984 ",25%, 2.71 ,36%,-14%, سالب ,25%,24%,0.00%,0.00%,0.00%,NA,,
8300.SR, الوطنية , تداول , 20.68 ,-3.63%, 34.00 , 18.14 ," 827,200,000 ",17/06/2010, 8.14 , غير متوفر ," 103,049,999 ",22%, 0.44 ,87%,-39%, 3.42 ,18%,78%,0.00%,0.00%,0.00%,NA,,
9584.SR, ريال , نمو , 24.94 ,-10.77%, 29.80 , 24.00 ," 199,520,000 ",24/10/2023, 11.65 , غير متوفر ," 20,885,161 ",-5%, 1.64 ,-36%,104%, 2.92 ,13%,8%,0.00%,0.00%,0.00%,NA,,
6016.SR, برغرايزر , تداول , 17.86 ,-4.90%, 24.98 , 14.90 ," 625,100,000 ",08/09/2021, 43.56 , غير متوفر ," 8,445,501 ",-31%, 2.09 ,7%,-43%, 37.98 ,12%,10%,0.00%,58.02%,0.00%,NA,,
9586.SR, أصول وبخيت , نمو , 37.00 ,-3.65%, 67.50 , 32.00 ," 299,700,000 ",07/11/2023, 12.25 , غير متوفر ," 24,904,009 ",149%, 18.66 ,-29%,87%, سالب ,17%,12%,0.00%,0.00%,0.00%,NA,,
4140.SR, صادرات , تداول , 2.49 ,8.73%, 3.05 , 1.98 ," 484,056,000 ",04/03/2010, غير متوفر , غير متوفر ," (17,016,767)",36%, 20.53 ,4865%,26%, سالب ,-12%,-22%,0.00%,حققت خسائر,0.00%,NA,,
6013.SR, التطويرية الغذائية , تداول , 112.20 ,-2.77%, 148.00 , 100.20 ," 336,600,000 ",01/07/2021," 2,244.00 ", غير متوفر ," 126,418 ",-42%, 3.53 ,-9%,6%, 14.89 ,0%,-1%,0.00%,119.67%,0.00%,NA,,
2220.SR, معدنية , تداول , 15.36 ,-0.26%, 19.90 , 12.52 ," 543,744,000 ",04/03/2010, غير متوفر , غير متوفر ," (27,353,415)",13%, 2.22 ,7%,69%, سالب ,-10%,0%,0.00%,حققت خسائر,0.00%,NA,,
9523.SR, جروب فايف , نمو , 32.70 ,-7.50%, 68.00 , 32.20 ," 915,600,000 ",20/12/2021, 105.48 , غير متوفر ," 8,900,608 ",138%, 1.76 ,98%,-125%, 18.45 ,3%,3%,0.00%,0.00%,0.00%,NA,,
9627.SR, طوارئيات , نمو , 21.54 ,-12.01%, 35.80 , 14.52 , Unavailable ,29/01/2025, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2160.SR, أميانتيت , تداول , 23.02 ,-2.79%, 35.15 , 19.58 ," 1,020,532,124 ",04/03/2010, 2.72 , غير متوفر ," 439,836,000 ",352%, 1.20 ,18%,-191%, سالب ,48%,-7%,0.00%,0.00%,0.00%,NA,,
8190.SR, المتحدة للتأمين , تداول , 8.96 ,-0.22%, 14.00 , 7.77 ," 358,400,000 ",04/03/2010, 17.92 , غير متوفر ," (15,055,000)",-384%, 0.42 ,-4%,-164%, سالب ,-6%,0%,0.00%,حققت خسائر,0.00%,NA,,
9595.SR, وسم , نمو , 41.90 ,-5.42%, 58.80 , 34.00 ," 89,875,500 ",21/02/2024, غير متوفر , غير متوفر , Unavailable ,34%, 3.21 ,166%,0%, سالب ,21%,17%,0.00%,0.00%,0.00%,NA,,
3008.SR, الكثيري , تداول , 2.29 ,2.69%, 3.05 , 1.92 ," 517,640,760 ",04/11/2019, غير متوفر , غير متوفر ," (5,345,267)",-342%, 2.92 ,0%,14%, سالب ,-4%,2%,0.00%,حققت خسائر,0.00%,NA,,
4165.SR, الماجد للعود , تداول , 123.40 ,-2.37%, 198.80 , 103.40 , Unavailable ,07/10/2024, 19.68 , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
1820.SR, باين , تداول , 2.23 ,-1.76%, 3.08 , 1.90 ," 702,450,000 ",22/12/2015, غير متوفر , 13.12 ," (49,691,000)",-10%, 1.05 ,3%,183%, 3.48 ,-23%,14%,0.00%,حققت خسائر,0.00%,NA,,
6050.SR, الأسماك , تداول , 112.40 ,12.18%, 189.29 , 83.20 ," 752,923,090 ",03/03/2010, غير متوفر , غير متوفر ," (100,576,857)",-33%, 27.79 ,7%,19%, سالب ,-90%,-62%,0.00%,حققت خسائر,0.00%,NA,,
4220.SR, إعمار , تداول , 15.74 ,9.61%, 20.64 , 12.08 ," 8,236,110,826 ",04/03/2010, غير متوفر , 28.28 ," (1,134,915,000)",-348%, 18.79 ,-59%,-24%, سالب ,-20%,-3%,0.00%,حققت خسائر,0.00%,NA,,
9613.SR, شلفا , نمو , 74.00 ,-10.74%, 108.00 , 70.00 , Unavailable ,06/11/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2090.SR, جيسكو , تداول , 19.96 ,-4.50%, 29.25 , 18.40 ," 632,066,693 ",03/03/2010, غير متوفر , غير متوفر ," (14,177,037)",218%, 10.36 ,-5%,-93%, سالب ,-4%,0%,0.00%,حققت خسائر,-100.00%,NA,,
4040.SR, سابتكو , تداول , 16.54 ,-4.39%, 23.88 , 14.90 ," 2,067,500,000 ",03/03/2010, غير متوفر , غير متوفر ," 8,020,000 ",73%, 1.45 ,-7%,306%, 8.74 ,1%,2%,0.00%,0.00%,0.00%,NA,,
8310.SR, أمانة للتأمين , تداول , 9.50 ,0.64%, 14.90 , 7.80 ," 408,500,000 ",17/06/2010, 52.78 , غير متوفر ," 12,027,000 ",-53%, 1.90 ,16%,561%, 22.79 ,4%,0%,0.00%,0.00%,0.00%,NA,,
9576.SR, منزل الورق , نمو , 160.00 ,6.67%, 179.25 , 131.20 ," 320,000,000 ",04/09/2023, 19.93 , غير متوفر ," 16,078,870 ",22%, 3.49 ,-1%,50%, سالب ,23%,16%,0.00%,0.00%,0.00%,NA,,
8120.SR, إتحاد الخليج الأهلية , تداول , 14.12 ,-1.94%, 25.70 , 13.00 ," 648,036,383 ",03/03/2010, 8.77 , غير متوفر ," 43,645,516 ",-65%, 0.75 ,20%,-54%, 11.36 ,7%,49%,0.00%,0.00%,0.00%,NA,,
4160.SR, ثمار , تداول , 45.30 ,11.85%, 59.00 , 12.74 ," 294,450,000 ",04/03/2010, غير متوفر , غير متوفر ," (15,312,234)",-39%," 4,089.58 ",0%,-9919%, سالب ,-59%,-64%,0.00%,حققت خسائر,0.00%,NA,,
9617.SR, أرابيكا ستار , نمو , 58.80 ,-18.45%, 88.00 , 58.80 , Unavailable ,05/12/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
4350.SR, الإستثمار ريت , تداول , 9.64 ,52.53%, 11.80 , 5.71 , Unavailable ,04/09/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
8200.SR, الإعادة السعودية , تداول , 41.55 ,-15.12%, 64.90 , 24.10 ," 4,812,736,500 ",03/03/2010, 7.80 , 14.38 ," 474,811,642 ",282%, 3.92 ,135%,2055%, 22.45 ,34%,21%,0.00%,0.00%,0.00%,NA,,
9540.SR, تدوير , نمو , 7.20 ,0.14%, 8.80 , 5.70 ," 807,552,000 ",31/05/2022, 34.29 , غير متوفر ," 24,694,960 ",31%, 1.38 ,56%,9%, سالب ,9%,6%,0.00%,0.00%,0.00%,NA,,
9558.SR, القمم , نمو , 91.00 ,-18.89%, 114.40 , 78.00 ," 273,000,000 ",02/02/2023, 15.96 , غير متوفر ," 22,059,600 ",36%, 7.94 ,84%,-960%, 30.82 ,18%,17%,0.00%,0.00%,-100.00%,NA,,
6010.SR, نادك , تداول , 23.10 ,-6.10%, 35.60 , 22.00 ," 6,967,884,000 ",04/03/2010, 8.99 , غير متوفر ," 774,631,968 ",156%, 2.16 ,1%,7%, 18.64 ,20%,10%,0.00%,0.05%,-6.06%,NA,,
4141.SR, العمران , تداول , 34.05 ,0.89%, 42.95 , 28.25 ," 408,600,000 ",21/07/2020, غير متوفر , غير متوفر ," (8,823,292)",-340%, 2.94 ,3%,-210%, سالب ,-6%,-2%,0.00%,حققت خسائر,-100.00%,NA,,
6017.SR, جاهز , تداول , 27.90 ,-6.06%, 40.00 , 25.85 , Unavailable ,01/12/2024, 30.33 , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9557.SR, إدارات , نمو , 532.00 ,-5.20%, 750.00 , 280.00 ," 1,339,764,860 ",26/12/2022, 54.23 , غير متوفر ," 29,103,738 ",42%, 14.69 ,30%,-18%, 193.82 ,58%,44%,0.00%,0.00%,0.00%,NA,,
9532.SR, مياه الجوف , نمو , 1.62 ,-10.00%, 2.41 , 0.89 ," 151,875,000 ",10/03/2022, 54.00 , غير متوفر ," 3,366,451 ",-29%, 2.02 ,4%,116%, 61.17 ,4%,6%,0.00%,0.00%,0.00%,NA,,
4346.SR, ميفك ريت , تداول , 4.00 ,2.04%, 4.86 , 3.62 ," 293,107,200 ",30/09/2021, 25.00 , غير متوفر ," (22,986,482)",2%, 4.54 ,135%,-25%, 19.25 ,-4%,0%,0.00%,حققت خسائر,-100.00%,NA,,
6002.SR, هرفي للأغذية , تداول , 24.80 ,18.32%, 33.65 , 18.00 ," 1,604,064,000 ",03/03/2010, غير متوفر , غير متوفر ," (116,524,061)",-1489%, 1.43 ,-4%,-4%, 13.75 ,-12%,-5%,0.00%,حققت خسائر,-100.00%,NA,,
