رمز الشركة,اسم الشركة,السوق,السعر,التغير الشهري,أعلى سعر سنوي,أدنى سعر سنوي,القيمة السوقية,تاريخ الادراج,مكرر الربحية,مكرر الربحية المتوقع,صافي الربح,نمو صافي الربح,مكرر المبيعات,نمو المبيعات,نمو التدفقات النقدية,مكرر التدفقات النقدية,العائد على حقوق الملكية,العائد على راس المال المستثمر,توزيعات الأرباح,نسبة التوزيعات من الأرباح,نمو التوزيعات,تقييم التوزيعات,,
1214.SR, شاكر , تداول , 30.10 ,2.56%, 32.60 , 23.28 ," 1,670,550,000 ",17/06/2010, 23.70 , غير متوفر ," 81,586,000 ",25%, 1.18 ,15%,726%, 10.87 ,11%,7%,0.00%,0.00%,0.00%,NA,,
9611.SR, المتحدة للزجاج المسطح , نمو , 40.00 ,8.11%, 54.00 , 29.90 , Unavailable ,18/09/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9526.SR, -   , -   , 37.60 ,2.73%, 37.60 , 37.60 ," 7,699,201,600 ",26/05/2022, 72.31 , 25.07 ," 173,085,554 ",113%, 4.76 ,11%,2150%, 78.51 ,12%,20%,0.00%,0.00%,0.00%,NA,,
2210.SR, نماء للكيماويات , تداول , 27.75 ,-1.77%, 31.85 , 23.54 ," 652,680,000 ",03/03/2010, غير متوفر , غير متوفر ," (82,250,000)",-512%, 1.70 ,-23%,-159%, سالب ,-37%,-20%,0.00%,حققت خسائر,0.00%,NA,,
9565.SR, معيار , نمو , 65.60 ,-7.61%, 83.00 , 59.90 ," 87,051,200 ",01/05/2023," 3,280.00 ", غير متوفر ," (224,035)",-66%, 2.49 ,-10%,-69%, سالب ,-1%,352%,0.00%,حققت خسائر,0.00%,NA,,
2330.SR, المتقدمة , تداول , 30.15 ,3.08%, 43.15 , 25.85 ," 7,793,775,000 ",15/03/2010, غير متوفر , 9.07 ," (259,179,000)",-252%, 3.55 ,-8%,30%, سالب ,-8%,1%,0.00%,حققت خسائر,-99.98%,NA,,
9541.SR, أكاديمية التعليم , نمو , 8.71 ,-1.80%, 11.70 , 6.93 ," 783,900,000 ",20/07/2022, 39.59 , غير متوفر ," 22,157,457 ",-31%, 7.43 ,37%,19%, سالب ,19%,9%,0.00%,81.24%,-57.14%,NA,,
2380.SR, بترو رابغ , تداول , 7.14 ,-9.62%, 8.92 , 6.58 ," 11,930,940,000 ",03/03/2010, غير متوفر , غير متوفر ," (4,544,513,000)",3%, 0.30 ,-12%,225%, 3.61 ,-48%,-6%,0.00%,حققت خسائر,2300.00%,NA,,
9566.SR, الصناعات الجيرية , نمو , 12.22 ,-13.33%, 14.20 , 10.00 ," 268,840,000 ",27/04/2023, 19.71 , غير متوفر ," 16,177,239 ",-38%, 1.60 ,5%,-144%, سالب ,5%,2%,0.00%,0.00%,-100.00%,NA,,
9624.SR, الشهيلي المعدنية , نمو , 77.00 ,2.26%, 94.00 , 74.00 , Unavailable ,29/01/2025, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
4083.SR, المتحدة الدولية القابضة , تداول , 167.80 ,-0.94%, 200.00 , 145.20 , Unavailable ,03/12/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9605.SR, نفط الشرق , نمو , 4.22 ,-4.09%, 6.00 , 3.70 , Unavailable ,25/06/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9619.SR, الأعمال المتعددة , نمو , 18.68 ,-4.21%, 20.80 , 13.40 , Unavailable ,04/12/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2110.SR, الكابلات السعودية , تداول , 143.60 ,20.27%, 146.60 , 55.50 ," 958,229,302 ",03/03/2010, 52.41 , غير متوفر ," 26,575,000 ",106%, 23.05 ,-58%,45%, سالب ,-6%,-8%,0.00%,0.00%,0.00%,NA,,
8313.SR, رسن , تداول , 83.80 ,6.89%, 96.20 , 37.00 ," 6,495,086,600 ",13/06/2024, غير متوفر , غير متوفر ," 94,400,712 ",106%, 18.21 ,40%,114%, 42.04 ,30%,20%,0.00%,0.00%,0.00%,NA,,
8180.SR, الصقر للتأمين , تداول , 14.42 ,-0.55%, 36.55 , 12.82 ," 432,600,000 ",03/03/2010, 11.72 , غير متوفر ," 31,858,208 ",-25%, 0.83 ,0%,873%, 20.43 ,11%,29%,0.00%,0.00%,-44.60%,NA,,
4180.SR, مجموعة فتيحي , تداول , 4.09 ,4.60%, 4.87 , 3.29 ," 1,124,750,000 ",04/03/2010, 81.80 , غير متوفر ," 14,515,000 ",179%, 16.55 ,-8%,7%," 1,448.37 ",3%,-3%,0.00%,0.00%,-100.00%,NA,,
9405.SR, -   , -   , 17.72 ,10.47%, 19.32 , 12.30 ," 125,386,649 ",23/08/2022, غير متوفر , غير متوفر , Unavailable ,Unavailable, -   ,Unavailable,Unavailable, -   ,0%,0%,0.00%,0.00%,Unavailable,NA,,
8040.SR, متكاملة , تداول , 17.30 ,15.95%, 22.46 , 13.30 ," 1,015,200,001 ",03/03/2010, 36.04 , غير متوفر ," 15,167,075 ",-59%, 1.23 ,4%,-151%, سالب ,2%,10%,0.00%,0.00%,0.00%,NA,,
2170.SR, اللجين , تداول , 37.55 ,-0.40%, 45.40 , 31.70 ," 2,598,460,000 ",03/03/2010, غير متوفر , 10.49 ," (50,703,000)",38%, 1.67 ,11%,-12%, 12.84 ,-1%,-1%,0.00%,حققت خسائر,0.00%,NA,,
9585.SR, ملكية , نمو , 45.00 ,1.35%, 47.00 , 29.00 ," 292,500,000 ",12/11/2023, 18.44 , غير متوفر ," 15,883,885 ",17%, 6.28 ,-5%,222%, 24.71 ,19%,0%,0.00%,98.89%,0.00%,NA,,
1183.SR, سهل , تداول , 20.00 ,13.90%, 20.08 , 14.52 ," 2,000,000,000 ",25/04/2022, 74.07 , غير متوفر ," 26,527,000 ",1040%, 10.09 ,20%,-32%, 22.40 ,2%,1%,0.00%,0.00%,-100.00%,NA,,
4300.SR, دار الأركان , تداول , 23.00 ,11.65%, 23.94 , 11.18 ," 24,840,000,000 ",04/03/2010, 31.51 , 17.36 ," 806,840,000 ",32%, 6.61 ,39%,-42%, 30.86 ,4%,4%,0.00%,0.00%,0.00%,NA,,
9604.SR, ميرال , نمو , 117.60 ,1.38%, 145.00 , 73.70 , Unavailable ,29/05/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2240.SR, الزامل للصناعة , تداول , 37.25 ,28.01%, 40.00 , 19.72 ," 2,235,000,000 ",04/03/2010, غير متوفر , 19.10 ," 26,805,000 ",109%, 0.37 ,30%,-64%, 7.99 ,5%,0%,0.00%,0.00%,0.00%,NA,,
9548.SR, ابيكو , نمو , 51.00 ,3.34%, 54.70 , 31.00 ," 255,000,000 ",09/10/2022, 20.90 , غير متوفر ," 11,819,830 ",40%, 2.06 ,1%,-271%, سالب ,9%,6%,0.00%,0.00%,0.00%,NA,,
9543.SR, نت وركرس , نمو , 69.00 ,-16.87%, 89.70 , 65.00 ," 414,000,000 ",21/08/2022, 10.30 , غير متوفر ," 49,863,040 ",21%, 0.74 ,16%,58%, 10.25 ,38%,26%,9.71%,65.65%,164.12%,5,,
2150.SR, زجاج , تداول , 46.30 ,-0.43%, 59.60 , 39.25 ," 1,523,270,000 ",03/03/2010, 15.08 , غير متوفر ," 96,778,579 ",102%, 10.97 ,-10%,49%, 23.09 ,13%,0%,4.54%,37.36%,-100.00%,5,,
1303.SR, الصناعات الكهربائية , تداول , 6.90 ,12.56%, 8.70 , 4.41 ," 7,676,250,000 ",22/12/2015, 19.17 , غير متوفر ," 401,730,726 ",100%, 3.86 ,27%,666%, 11.93 ,48%,47%,5.07%,48.93%,133.90%,5,,
3092.SR, أسمنت الرياض , تداول , 33.80 ,-6.50%, 37.30 , 22.64 ," 4,056,000,000 ",02/09/2020, 13.05 , 14.08 ," 310,439,020 ",64%, 5.14 ,23%,73%, 11.85 ,18%,21%,8.88%,67.90%,13.20%,5,,
2283.SR, المطاحن الأولى , تداول , 59.20 ,-2.63%, 86.80 , 55.20 ," 3,267,840,000 ",22/06/2023, 13.16 , غير متوفر ," 250,902,000 ",14%, 3.12 ,9%,26%, 12.98 ,28%,0%,4.80%,65.23%,-100.00%,5,,
9528.SR, جاز , نمو , 15.22 ,-5.47%, 19.90 , 9.22 ," 2,402,758,814 ",07/02/2022, 21.14 , 16.91 ," 113,955,738 ",40%, 2.20 ,51%,407%, 18.23 ,30%,23%,4.47%,62.23%,99.48%,5,,
7020.SR, إتحاد إتصالات , تداول , 61.00 ,3.92%, 64.50 , 48.65 ," 46,970,000,000 ",03/03/2010, 15.14 , 12.98 ," 3,106,848,000 ",39%, 2.58 ,9%,-2%, 12.56 ,17%,12%,5.98%,21.68%,106.87%,5,,
1080.SR, العربي , تداول , 22.54 ,2.45%, 23.51 , 18.32 ," 44,967,300,000 ",03/03/2010, 9.09 , 8.77 ," 4,965,895,000 ",22%, 3.41 ,20%,144%, 7.97 ,14%,3%,5.77%,43.54%,25.18%,5,,
2270.SR, سدافكو , تداول , 307.80 ,3.15%, 400.00 , 284.40 ," 9,849,600,000 ",03/03/2010, 20.33 , 16.98 ," 418,062,000 ",41%, 3.50 ,6%,135%, 14.53 ,25%,21%,6.82%,29.27%,-33.26%,5,,
3040.SR, أسمنت القصيم , تداول , 52.60 ,2.73%, 61.50 , 49.15 ," 5,773,410,032 ",03/03/2010, 17.65 , 21.04 ," 301,349,000 ",112%, 5.97 ,66%,1212%, 18.03 ,12%,0%,5.23%,68.05%,-100.00%,5,,
7010.SR, اس تي سي , تداول , 47.30 ,7.26%, 47.55 , 36.10 ," 235,881,126,800 ",04/03/2010, 22.10 , 15.77 ," 24,688,652,000 ",86%, 3.10 ,5%,-37%, 28.26 ,30%,11%,5.81%,39.24%,22.06%,5,,
4031.SR, الخدمات الأرضية , تداول , 48.20 ,-7.31%, 59.00 , 43.70 ," 9,061,600,000 ",21/12/2015, 27.70 , 12.33 ," 327,034,000 ",55%, 3.38 ,9%,60%, 28.43 ,13%,8%,4.15%,0.18%,0.00%,5,,
1830.SR, لجام للرياضة , تداول , 136.80 ,-12.08%, 238.00 , 129.20 ," 7,150,978,958 ",10/09/2018, 15.76 , غير متوفر ," 456,978,822 ",28%, 4.76 ,13%,-49%, 39.51 ,39%,15%,4.69%,61.79%,56.23%,5,,
6070.SR, الجوف , تداول , 47.35 ,-4.34%, 74.00 , 43.00 ," 1,420,500,000 ",03/03/2010, 16.97 , غير متوفر ," 75,300,453 ",22%, 2.44 ,37%,131%, 39.00 ,10%,11%,2.11%,48.32%,146.13%,4,,
1140.SR, البلاد , تداول , 29.05 ,-2.91%, 33.88 , 26.42 ," 43,575,000,000 ",04/03/2010, 15.45 , 10.93 ," 2,806,531,000 ",18%, 5.49 ,14%,250%, 33.84 ,17%,3%,2.58%,40.09%,123.88%,4,,
4263.SR, سال , تداول , 180.00 ,-11.68%, 328.00 , 163.60 ," 14,400,000,000 ",01/11/2023, 21.77 , 14.63 ," 661,435,000 ",30%, 8.81 ,12%,16%, 19.13 ,49%,24%,3.33%,74.63%,39.95%,4,,
1120.SR, الراجحي , تداول , 97.40 ,-1.81%, 104.00 , 75.70 ," 389,600,000,000 ",03/03/2010, 20.86 , 11.59 ," 19,721,774,000 ",25%, 9.24 ,23%,106%, 9.25 ,19%,2%,2.78%,48.68%,0.00%,4,,
1150.SR, الإنماء , تداول , 30.05 ,0.67%, 34.00 , 27.35 ," 75,125,000,000 ",03/03/2010, 13.54 , 8.19 ," 5,831,661,000 ",21%, 4.65 ,30%,-37%, 31.44 ,16%,4%,2.83%,34.10%,-26.36%,4,,
1060.SR, الأول , تداول , 35.70 ,0.14%, 41.80 , 30.80 ," 73,356,003,000 ",04/03/2010, 9.44 , 7.03 ," 8,070,461,000 ",15%, 3.69 ,16%,-121%, 55.96 ,13%,2%,5.55%,49.83%,13.85%,4,,
4347.SR, بنيان ريت , تداول , 9.41 ,1.73%, 10.06 , 8.91 ," 1,532,711,151 ",25/07/2018, 13.84 , غير متوفر ," 124,393,380 ",14%, 6.36 ,9%,15%, 13.63 ,9%,0%,7.12%,86.42%,0.01%,4,,
4150.SR, التعمير , تداول , 34.20 ,0.00%, 38.40 , 20.98 ," 6,079,999,734 ",03/03/2010, 20.48 , 18.59 ," 296,167,906 ",9%, 18.91 ,-5%,-75%, 26.60 ,12%,3%,2.19%,44.30%,48.88%,4,,
4700.SR, -   , -   , 5.97 ,-1.32%, 6.95 , 5.53 ," 94,660,911 ",23/08/2022, غير متوفر , غير متوفر , Unavailable ,Unavailable, -   ,Unavailable,Unavailable, -   ,0%,0%,8.54%,0.00%,Unavailable,4,,
4701.SR, صندوق الخبير , -   , 8.23 ,-2.95%, 9.44 , 7.59 ," 569,667,111 ",23/08/2022, غير متوفر , غير متوفر ," 108,499,209 ",436%, 9.21 ,953%,142%, 1.51 ,13%,0%,9.54%,85.23%,0.00%,4,,
4162.SR, المنجم , تداول , 83.20 ,0.24%, 128.20 , 74.50 ," 4,992,000,000 ",21/12/2021, 17.93 , 14.49 ," 278,641,809 ",-1%, 1.49 ,1%,-47%, 23.85 ,27%,21%,3.91%,69.98%,-23.53%,4,,
4342.SR, جدوى ريت السعودية , تداول , 10.34 ,3.92%, 12.88 , 9.70 ," 1,928,511,125 ",11/02/2018, 11.36 , غير متوفر ," 170,295,641 ",158%, 11.59 ,-19%,14%, 20.89 ,9%,-597%,7.74%,87.62%,0.00%,4,,
1050.SR, بي اس اف , تداول , 18.38 ,4.43%, 18.94 , 14.56 ," 45,588,458,140 ",03/03/2010, 10.69 , 7.21 ," 4,543,949,000 ",8%, 3.51 ,24%,975%, 46.33 ,11%,3%,5.25%,52.76%,8.03%,4,,
1833.SR, الموارج , تداول , 149.20 ,11.68%, 153.00 , 103.20 ," 2,238,000,000 ",19/06/2023, 25.42 , 10.89 ," 87,971,473 ",17%, 1.40 ,33%,124%, 18.13 ,24%,27%,1.68%,38.36%,87.50%,4,,
9521.SR, إنماء الروابي , نمو , 27.00 ,-3.57%, 30.00 , 17.78 ," 1,080,000,000 ",20/12/2021, 7.07 , غير متوفر ," 69,779,832 ",26%, 8.24 ,28%,767%, 26.31 ,12%,9%,1.85%,28.66%,0.00%,4,,
4007.SR, الحمادي , تداول , 40.45 ,-0.37%, 58.50 , 36.10 ," 6,472,000,000 ",15/07/2014, 19.08 , 14.50 ," 338,800,814 ",12%, 5.61 ,-2%,-15%, 25.88 ,18%,6%,3.46%,66.34%,33.28%,4,,
3010.SR, أسمنت العربية , تداول , 25.95 ,0.97%, 31.95 , 23.98 ," 2,595,000,000 ",04/03/2010, 16.22 , 17.30 ," 160,100,000 ",15%, 3.03 ,-2%,-40%, 19.35 ,6%,5%,5.78%,91.32%,-20.32%,4,,
4333.SR, تعليم ريت , تداول , 10.22 ,1.79%, 11.92 , 9.60 ," 521,220,000 ",19/07/2017, 14.60 , غير متوفر ," 45,688,971 ",9%, 7.71 ,6%,38%, 18.17 ,6%,8%,6.26%,91.63%,-3.02%,4,,
4348.SR, الخبير ريت , تداول , 5.94 ,4.21%, 6.46 , 5.54 ," 837,592,569 ",30/09/2021, 12.91 , غير متوفر ," 65,501,951 ",557%, 6.53 ,17%,-10%, 6.20 ,6%,4%,7.07%,81.47%,-37.00%,4,,
4334.SR, المعذر ريت , تداول , 9.79 ,5.72%, 10.10 , 8.47 ," 600,812,300 ",23/08/2017, 14.61 , غير متوفر ," 50,360,453 ",58%, 9.39 ,0%,3%, 20.82 ,8%,6%,10.21%,95.57%,-51.49%,4,,
3080.SR, أسمنت الشرقية , تداول , 34.00 ,-0.58%, 37.40 , 30.20 ," 2,924,000,000 ",04/03/2010, 11.81 , 13.60 ," 247,883,000 ",25%, 2.42 ,23%,213%, 20.79 ,10%,0%,4.71%,34.80%,-100.00%,5,,
4142.SR, كابلات الرياض , تداول , 123.60 ,-3.44%, 165.00 , 83.80 ," 18,540,000,000 ",22/12/2022, 22.68 , 16.07 ," 816,689,852 ",57%, 2.06 ,15%,-43%, 27.40 ,32%,24%,2.83%,55.01%,19.97%,4,,
4012.SR, الأصيل , تداول , 4.09 ,3.28%, 5.44 , 3.58 ," 1,636,000,000 ",11/11/2019, 19.48 , 25.56 ," 83,903,649 ",9%, 3.13 ,-2%,19%, 11.96 ,14%,18%,4.65%,90.58%,16.92%,4,,
2320.SR, البابطين , تداول , 44.60 ,-3.67%, 48.85 , 32.80 ," 4,153,355,644 ",04/03/2010, 12.74 , 9.27 ," 272,012,000 ",92%, 1.48 ,13%,129%, 9.03 ,27%,0%,5.61%,0.00%,-100.00%,4,,
3030.SR, أسمنت السعودية , تداول , 44.85 ,4.55%, 47.50 , 39.65 ," 6,862,050,000 ",04/03/2010, 16.25 , 14.80 ," 421,874,000 ",11%, 4.09 ,15%,9%, 13.82 ,20%,17%,5.02%,81.28%,-32.68%,4,,
4163.SR, الدواء , تداول , 79.80 ,2.05%, 98.20 , 65.80 ," 6,783,000,000 ",16/03/2022, 18.34 , غير متوفر ," 370,105,462 ",12%, 1.05 ,12%,-9%, 14.92 ,27%,13%,2.36%,57.52%,-0.01%,4,,
9559.SR, بلدي , نمو , 286.00 ,-10.63%, 408.00 , 235.00 ," 1,879,020,000 ",19/03/2023, 15.92 , غير متوفر ," 118,113,552 ",17%, 2.12 ,17%,-108%," 1,015.23 ",42%,34%,0.70%,2.78%,-25.00%,3,,
9601.SR, الرشيد , نمو , 116.00 ,-15.94%, 172.00 , 29.00 ," 1,392,000,000 ",23/05/2024, 20.17 , غير متوفر ," 68,992,148 ",81%, 5.47 ,28%,32%, 25.88 ,36%,29%,1.72%,12.78%,24.85%,3,,
2120.SR, متطورة , تداول , 27.75 ,-16.67%, 46.90 , 25.55 ," 1,637,250,000 ",04/03/2010, 5.55 , غير متوفر ," 295,064,009 ",98%, 5.77 ,90%,133%, 19.98 ,25%,0%,3.60%,20.00%,-100.00%,3,,
9525.SR, الوسائل الصناعية , نمو , 3.14 ,2.28%, 3.89 , 2.04 ," 785,000,000 ",16/03/2022, 19.63 , غير متوفر ," 40,199,530 ",4%, 1.71 ,15%,-100%, 42.57 ,11%,25%,4.78%,62.19%,-100.00%,3,,
3090.SR, أسمنت تبوك , تداول , 12.44 ,-3.27%, 14.54 , 11.10 ," 1,119,600,000 ",03/03/2010, 17.28 , 10.91 ," 65,082,597 ",-6%, 3.40 ,-11%,-42%, 10.88 ,5%,3%,6.03%,34.75%,-97.07%,3,,
4081.SR, النايفات , تداول , 12.72 ,-4.93%, 16.32 , 11.54 ," 1,526,400,000 ",08/12/2021, 11.67 , 13.41 ," 131,237,000 ",48%, 4.29 ,21%,507%, 8.99 ,9%,9%,3.93%,0.00%,0.00%,3,,
7202.SR, سلوشنز , تداول , 305.40 ,1.80%, 351.60 , 250.00 ," 36,342,473,259 ",17/10/2021, 22.95 , 17.86 ," 1,596,135,000 ",34%, 3.01 ,9%,-22%, 29.74 ,44%,45%,1.96%,44.73%,20.00%,3,,
9581.SR, كلين لايف , نمو , 107.20 ,-4.29%, 130.00 , 92.00 ," 160,800,000 ",23/10/2023, 14.01 , غير متوفر ," 9,203,789 ",25%, 2.63 ,24%,-156%, سالب ,51%,30%,7.46%,65.38%,0.00%,3,,
4001.SR, أسواق ع العثيم , تداول , 9.24 ,-0.86%, 13.00 , 9.00 ," 8,316,000,000 ",04/03/2010, 16.21 , 14.44 ," 521,586,067 ",7%, 0.78 ,5%,7%, 23.41 ,45%,9%,4.44%,103.53%,1.34%,3,,
4015.SR, جمجوم فارما , تداول , 150.20 ,-4.33%, 202.40 , 124.80 ," 10,514,000,000 ",20/06/2023, 29.51 , 17.75 ," 356,520,884 ",22%, 7.97 ,20%,-18%, 50.96 ,24%,23%,3.04%,60.87%,210.67%,3,,
1180.SR, الأهلي , تداول , 35.70 ,2.15%, 38.45 , 31.55 ," 212,226,682,500 ",12/11/2014, 10.41 , 7.08 ," 21,192,893,000 ",6%, 4.07 ,-37%,-262%, سالب ,12%,1%,7.84%,50.96%,33.75%,3,,
2290.SR, ينساب , تداول , 33.20 ,0.30%, 43.00 , 30.00 ," 18,674,998,008 ",03/03/2010, 44.27 , 18.11 ," 420,334,000 ",187%, 3.03 ,36%,2391%, 13.30 ,4%,4%,6.02%,234.33%,-22.88%,3,,
4344.SR, سدكو كابيتال ريت , تداول , 7.25 ,-3.46%, 8.78 , 7.04 ," 1,355,347,190 ",01/05/2018, 18.59 , غير متوفر ," 110,284,721 ",886%, 6.05 ,18%,86%, 8.97 ,5%,-316%,6.90%,112.84%,-19.71%,3,,
4004.SR, دلة الصحية , تداول , 125.60 ,0.32%, 170.00 , 113.20 ," 12,221,325,880 ",17/12/2012, 26.00 , 12.55 ," 471,202,060 ",31%, 3.81 ,9%,-5%, 41.08 ,14%,9%,1.59%,42.70%,37.14%,3,,
6004.SR, كاتريون , تداول , 118.00 ,1.03%, 139.40 , 103.00 ," 9,676,000,000 ",13/10/2012, 27.44 , 14.68 ," 352,770,108 ",25%, 4.21 ,8%,-97%, 480.32 ,26%,17%,2.92%,52.33%,50.44%,3,,
2010.SR, سابك , تداول , 61.20 ,-1.77%, 87.00 , 58.20 ," 183,600,000,000 ",03/03/2010, 87.43 , 17.76 ," 1,538,542,000 ",156%, 1.31 ,-1%,-56%, 28.56 ,1%,2%,5.56%,656.50%,-12.61%,3,,
4003.SR, إكسترا , تداول , 92.40 ,-0.86%, 105.00 , 83.80 ," 6,770,907,990 ",25/08/2012, 14.00 , غير متوفر ," 527,895,000 ",35%, 1.00 ,9%,65%, 31.33 ,37%,23%,10.82%,130.39%,157.22%,3,,
1321.SR, أنابيب الشرق , تداول , 133.00 ,-7.25%, 177.80 , 119.20 ," 4,189,500,000 ",17/02/2022, 8.80 , غير متوفر ," 476,094,520 ",168%, 1.94 ,7%,-61%, 4.94 ,50%,40%,2.26%,0.00%,0.00%,3,,
4321.SR, سينومي سنترز , تداول , 20.00 ,-1.96%, 25.75 , 19.22 ," 9,498,847,080 ",22/05/2019, 7.81 , 6.37 ," 1,331,741,869 ",37%, 5.54 ,0%,-30%, سالب ,7%,3%,5.63%,34.08%,124.10%,3,,
2284.SR, المطاحن الحديثة , تداول , 38.30 ,-1.92%, 57.60 , 34.00 ," 3,102,823,944 ",27/03/2024, 14.90 , غير متوفر ," 208,670,276 ",3%, 3.10 ,7%,-6%, 18.38 ,84%,22%,5.22%,77.65%,15.73%,3,,
4191.SR, أبو معطي , تداول , 39.35 ,4.93%, 43.95 , 25.30 ," 787,000,000 ",11/11/2019, 31.73 , 37.48 ," 24,592,623 ",59%, 2.90 ,-14%,-104%, 70.03 ,10%,7%,2.54%,40.66%,200.00%,3,,
4051.SR, باعظيم , تداول , 6.24 ,0.65%, 7.18 , 5.40 ," 631,800,000 ",04/12/2019, 29.71 , غير متوفر ," 23,305,570 ",8%, 2.40 ,2%,-30%, 35.70 ,12%,10%,3.06%,78.20%,0.00%,3,,
4339.SR, دراية ريت , تداول , 5.75 ,2.13%, 7.07 , 5.04 ," 618,165,446 ",26/03/2018, 11.27 , 2.73 ," 54,550,622 ",-15%, 5.63 ,7%,-80%, 23.09 ,6%,5%,4.78%,36.54%,-49.73%,3,,
9404.SR, -   , -   , 10.51 ,0.48%, 10.70 , 10.42 ," 98,110,839 ",23/08/2022, غير متوفر , غير متوفر , Unavailable ,Unavailable, -   ,Unavailable,Unavailable, -   ,0%,0%,3.17%,0.00%,Unavailable,3,,
9583.SR, المتحدة للتعدين , نمو , 40.00 ,3.09%, 44.35 , 23.00 ," 560,000,000 ",22/10/2023, 19.05 , غير متوفر ," 29,332,178 ",12%, 3.05 ,-1%,127%, 19.43 ,11%,12%,3.63%,92.93%,322.22%,3,,
9403.SR, -   , -   , 8.29 ,0.36%, 8.36 , 7.94 ," 101,875,536 ",08/02/2022, غير متوفر , غير متوفر , Unavailable ,Unavailable, -   ,Unavailable,Unavailable, -   ,0%,0%,3.64%,0.00%,Unavailable,3,,
1304.SR, اليمامة للحديد , تداول , 32.20 ,0.00%, 43.50 , 28.10 ," 1,635,760,000 ",22/05/2016, 35.78 , 13.70 ," 45,844,012 ",154%, 0.90 ,25%,12447%, 21.69 ,8%,10%,1.55%,0.00%,0.00%,3,,
9519.SR, -   , -   , 8.25 ,1.85%, 8.25 , 8.25 ," 1,649,736,000 ",12/09/2021, 48.53 , غير متوفر ," 21,373,117 ",2%, 30.67 ,11%,-13%, 28.79 ,6%,5%,0.42%,52.58%,-66.67%,3,,
7203.SR, علم , تداول ," 1,020.00 ",7.85%," 1,289.00 ", 800.20 ," 79,264,259,160 ",01/03/2022, 44.74 , غير متوفر ," 1,826,629,969 ",35%, 10.70 ,26%,3%, 55.43 ,39%,35%,0.74%,31.90%,24.98%,3,,
1030.SR, الإستثمار , تداول , 15.16 ,7.67%, 15.58 , 12.04 ," 18,909,068,000 ",03/03/2010, 10.60 , 6.04 ," 1,956,630,000 ",11%, 3.08 ,16%,-56%, سالب ,12%,2%,7.65%,45.97%,5.88%,3,,
4200.SR, الدريس , تداول , 134.00 ,0.30%, 154.40 , 99.80 ," 13,400,000,000 ",04/03/2010, 39.64 , غير متوفر ," 337,999,788 ",20%, 0.69 ,30%,111%, 13.70 ,25%,9%,1.68%,22.19%,-50.00%,3,,
9529.SR, -   , -   , 193.00 ,3.10%, 205.40 , 116.60 ," 1,206,250,000 ",21/02/2022, 24.46 , غير متوفر ," 49,425,112 ",52%, 9.92 ,4%,-28%, 56.27 ,32%,13%,1.17%,30.03%,-8.33%,3,,
