رمز الشركة,اسم الشركة,السوق,السعر,التغير الشهري,أعلى سعر سنوي,أدنى سعر سنوي,القيمة السوقية,تاريخ الادراج,مكرر الربحية,مكرر الربحية المتوقع,صافي الربح,نمو صافي الربح,مكرر المبيعات,نمو المبيعات,نمو التدفقات النقدية,مكرر التدفقات النقدية,العائد على حقوق الملكية,العائد على راس المال المستثمر,توزيعات الأرباح,نسبة التوزيعات من الأرباح,نمو التوزيعات,تقييم التوزيعات,,
9300.SR, الواحة ريت , نمو , 11.52 ,4.54%, 14.00 , 11.00 ," 172,800,000 ",06/12/2022, غير متوفر , غير متوفر ," 12,653,970 ",0%, 9.27 ,0%,0%, 1.06 ,8%,0%,6.08%,98.39%,0.00%,3,,
4260.SR, بدجت السعودية , تداول , 74.10 ,-5.12%, 98.60 , 69.50 ," 5,273,450,247 ",04/03/2010, 17.44 , 9.79 ," 310,991,000 ",12%, 2.68 ,43%,2678%, 65.73 ,14%,-1%,1.96%,34.19%,-100.00%,3,,
3003.SR, أسمنت المدينة , تداول , 20.56 ,-1.91%, 21.88 , 16.82 ," 2,878,400,000 ",15/10/2012, 19.96 , 12.39 ," 144,119,933 ",76%, 5.53 ,46%,143%, 12.92 ,8%,7%,2.43%,87.43%,-0.01%,3,,
4280.SR, المملكة , تداول , 8.88 ,12.69%, 11.78 , 6.82 ," 32,908,234,824 ",04/03/2010, 26.91 , 22.20 ," 1,236,970,000 ",22%, 13.78 ,-12%,474%, 14.08 ,3%,5%,3.15%,83.88%,-3.90%,3,,
1010.SR, الرياض , تداول , 31.55 ,3.78%, 33.20 , 23.88 ," 94,492,250,000 ",31/03/2012, 10.48 , 8.67 ," 9,321,894,000 ",16%, 4.63 ,24%,239%, سالب ,16%,3%,5.39%,49.61%,24.17%,3,,
9603.SR, الأفق التعليمية , نمو , 80.00 ,0.00%, 95.00 , 51.80 ," 200,000,000 ",02/06/2024, 17.62 , غير متوفر , Unavailable ,15%, 4.67 ,14%,22%, 16.93 ,18%,0%,3.75%,0.00%,-100.00%,3,,
2280.SR, المراعي , تداول , 53.40 ,-4.13%, 61.50 , 50.60 ," 53,400,000,000 ",04/03/2010, 22.72 , غير متوفر ," 2,352,067,000 ",13%, 2.51 ,7%,32%, 76.32 ,13%,9%,1.87%,41.96%,0.27%,2,,
1322.SR, أماك , تداول , 58.50 ,-0.68%, 75.50 , 46.80 ," 5,159,462,432 ",05/04/2022, 25.00 , 24.07 ," 177,898,745 ",226%, 6.61 ,60%,194%, 50.88 ,15%,17%,3.56%,77.10%,-100.00%,2,,
9535.SR, لدن , نمو , 3.33 ,-20.71%, 7.30 , 2.80 ," 1,665,000,000 ",19/06/2022, 25.62 , غير متوفر ," 68,621,702 ",82%, 1.60 ,63%,-421%, سالب ,8%,5%,1.20%,39.58%,-100.00%,2,,
1212.SR, أسترا الصناعية , تداول , 147.20 ,-8.11%, 207.00 , 125.60 ," 11,776,000,000 ",04/03/2010, 21.27 , 14.72 ," 589,340,930 ",24%, 3.83 ,7%,-20%, 26.55 ,25%,18%,3.74%,0.00%,-0.15%,2,,
4090.SR, طيبة , تداول , 42.65 ,-10.59%, 51.50 , 36.80 ," 11,108,533,700 ",04/03/2010, 33.32 , 62.38 ," 348,405,866 ",203%, 8.39 ,145%,124%, 45.73 ,5%,0%,1.52%,48.74%,-100.00%,2,,
9515.SR, فش فاش , نمو , 12.48 ,-10.47%, 18.00 , 10.02 ," 141,024,000 ",10/10/2021, 43.03 , غير متوفر ," 3,231,378 ",65%, 3.96 ,8%,-95%, 72.00 ,22%,33%,1.44%,62.95%,49.99%,2,,
2382.SR, أديس , تداول , 15.34 ,-5.43%, 21.98 , 13.80 ," 16,888,350,570 ",11/10/2023, 21.01 , غير متوفر ," 802,498,000 ",82%, 2.72 ,43%,135%, 63.88 ,13%,8%,2.84%,0.00%,3369.75%,2,,
4100.SR, مكة , تداول , 107.80 ,-2.00%, 114.60 , 74.00 ," 21,560,000,000 ",03/03/2010, 52.59 , غير متوفر ," 410,651,329 ",23%, 25.80 ,14%,-13%, 72.95 ,9%,12%,1.15%,59.57%,24.62%,2,,
8010.SR, التعاونية , تداول , 137.60 ,-3.23%, 171.40 , 119.00 ," 20,604,478,285 ",04/03/2010, 20.15 , غير متوفر ," 1,022,025,000 ",66%, 1.15 ,19%,60%, 8.57 ,24%,0%,0.73%,0.00%,18.96%,2,,
9578.SR, مصاعد أطلس , نمو , 19.56 ,-6.68%, 23.88 , 15.54 ," 117,360,000 ",04/10/2023, 13.31 , غير متوفر ," 8,841,500 ",5%, 1.44 ,-8%,1578%," 1,322.99 ",9%,1%,2.56%,67.86%,112.04%,2,,
4291.SR, الوطنية للتعليم , تداول , 154.20 ,-2.41%, 244.40 , 138.20 ," 6,630,600,000 ",18/11/2018, 54.88 , 29.71 ," 171,003,661 ",55%, 10.84 ,27%,0%, 82.54 ,22%,29%,1.36%,41.49%,0.00%,2,,
4143.SR, تالكو , تداول , 47.20 ,-0.63%, 73.50 , 39.95 ," 1,888,000,000 ",13/06/2024, غير متوفر , غير متوفر ," 81,532,180 ",3%, 2.67 ,4%,13%, 28.74 ,16%,15%,3.18%,73.59%,36.74%,2,,
9536.SR, فاديكو , نمو , 79.00 ,-7.06%, 101.60 , 68.00 ," 111,390,000 ",21/06/2022, 16.09 , غير متوفر ," 6,927,752 ",59%, 2.45 ,7%,125%, 55.65 ,15%,10%,1.90%,18.01%,-19.95%,2,,
2080.SR, الغاز , تداول , 90.30 ,-5.45%, 117.20 , 80.00 ," 6,772,500,000 ",04/03/2010, 27.20 , غير متوفر ," 248,749,238 ",9%, 2.36 ,16%,-221%, سالب ,13%,7%,2.44%,64.42%,112.62%,2,,
4161.SR, بن داود , تداول , 6.25 ,3.65%, 9.51 , 5.55 ," 7,131,250,000 ",19/04/2021, 26.04 , 15.63 ," 268,876,108 ",-2%, 1.26 ,1%,28%, 10.26 ,19%,11%,3.20%,84.89%,-0.07%,2,,
2020.SR, سابك للمغذيات الزراعية , تداول , 103.60 ,-1.15%, 122.60 , 96.50 ," 49,317,267,440 ",04/03/2010, 14.82 , 13.34 ," 3,327,172,000 ",-9%, 4.46 ,0%,-30%, 14.46 ,18%,16%,5.79%,85.72%,-45.31%,2,,
4261.SR, ذيب , تداول , 67.50 ,-1.75%, 81.50 , 59.20 ," 2,902,500,000 ",23/05/2022, 15.88 , 10.21 ," 182,706,083 ",29%, 2.30 ,15%,49%, سالب ,23%,12%,3.13%,45.42%,6.04%,2,,
4164.SR, النهدي , تداول , 114.00 ,-0.52%, 139.00 , 106.00 ," 14,820,000,000 ",18/04/2022, 18.04 , غير متوفر ," 820,723,624 ",-8%, 1.57 ,8%,12%, 13.27 ,33%,19%,4.82%,87.12%,0.00%,2,,
4002.SR, المواساة , تداول , 74.00 ,1.79%, 139.00 , 65.60 ," 14,800,000,000 ",22/02/2010, 22.91 , 13.96 ," 645,759,043 ",-2%, 5.14 ,6%,56%, 18.47 ,19%,15%,2.36%,54.20%,16.94%,2,,
2082.SR, أكوا باور , تداول , 330.00 ,0.00%, 500.80 , 291.60 ," 241,616,347,500 ",19/12/2021, 138.08 , 54.10 ," 1,757,057,000 ",6%, 37.75 ,3%,-167%, سالب ,9%,4%,0.14%,22.92%,-36.20%,2,,
1111.SR, مجموعة تداول , تداول , 194.40 ,-7.25%, 275.60 , 177.40 ," 23,328,000,000 ",12/12/2021, 37.53 , 31.72 ," 621,842,981 ",59%, 15.73 ,35%,62%, 56.73 ,19%,14%,1.18%,44.38%,-0.42%,2,,
7040.SR, قو للإتصالات , تداول , 95.10 ,5.67%, 126.20 , 77.20 ," 3,233,382,882 ",03/03/2010, 18.32 , غير متوفر ," 178,662,298 ",358%, 2.40 ,61%,10533%, 19.81 ,28%,18%,0.32%,0.00%,0.00%,2,,
4349.SR, الإنماء ريت الفندقي , تداول , 8.38 ,1.70%, 8.80 , 7.80 ," 854,777,598 ",01/02/2023, غير متوفر , غير متوفر ," 48,846,838 ",0%, 11.32 ,0%,0%, 13.70 ,5%,4%,7.64%,133.64%,0.00%,2,,
8210.SR, بوبا العربية , تداول , 167.00 ,-2.91%, 284.60 , 150.40 ," 24,932,220,244 ",04/03/2010, 21.41 , 17.10 ," 1,166,002,000 ",24%, 1.32 ,14%,-41%, 18.87 ,23%,0%,2.40%,0.00%,10.97%,2,,
3060.SR, أسمنت ينبع , تداول , 22.38 ,-1.84%, 29.95 , 21.20 ," 3,524,850,000 ",03/03/2010, 22.38 , 22.38 ," 157,120,485 ",31%, 4.02 ,12%,647%, 18.25 ,6%,7%,5.59%,124.77%,-16.67%,2,,
2250.SR, المجموعة السعودية , تداول , 15.18 ,0.13%, 23.50 , 13.80 ," 11,457,864,000 ",03/03/2010, 56.22 , 12.40 ," 201,243,000 ",79%, -   ,0%,1717%, 14.70 ,2%,1%,3.29%,374.82%,98.41%,2,,
9562.SR, بوابة الأطعمة , نمو , 62.00 ,3.51%, 64.00 , 51.40 ," 130,200,000 ",05/04/2023, 15.94 , غير متوفر ," 6,924,876 ",1%, 2.78 ,-4%,-49%, 16.73 ,11%,10%,1.61%,38.84%,0.00%,2,,
9550.SR, شور , نمو , 86.50 ,-1.70%, 101.80 , 60.00 ," 653,107,005 ",24/01/2023, 22.94 , غير متوفر ," 36,791,424 ",19%, 2.92 ,-6%,-30%, 48.99 ,26%,25%,1.73%,35.44%,0.00%,2,,
4340.SR, الراجحي ريت , تداول , 8.43 ,2.80%, 8.80 , 8.03 ," 2,323,371,056 ",20/03/2018, 16.53 , غير متوفر ," 214,677,137 ",-52%, 7.92 ,21%,-10%, 10.45 ,8%,0%,6.47%,92.60%,-11.70%,2,,
4332.SR, جدوى ريت الحرمين , تداول , 6.27 ,3.98%, 6.98 , 5.77 ," 413,820,000 ",30/09/2021, 15.68 , غير متوفر ," 26,366,732 ",314%, 10.05 ,65%,-239%, سالب ,5%,0%,3.19%,32.54%,0.00%,2,,
4190.SR, جرير , تداول , 12.64 ,0.80%, 14.10 , 12.32 ," 15,168,000,000 ",03/03/2010, 15.60 , غير متوفر ," 973,955,000 ",0%, 1.40 ,2%,63%, 14.43 ,57%,37%,6.57%,102.26%,0.61%,2,,
9575.SR, ماربل ديزاين , نمو , 76.70 ,-1.03%, 95.00 , 70.00 ," 460,200,000 ",08/08/2023, 22.96 , غير متوفر ," 20,064,877 ",-3%, 9.07 ,-7%,41%, 24.11 ,20%,19%,4.43%,101.67%,-51.43%,2,,
9591.SR, فيو , نمو , 7.12 ,3.19%, 10.70 , 6.31 ," 234,960,000 ",13/12/2023, 12.49 , غير متوفر ," 6,445,010 ",7%, 3.34 ,4%,1100%, سالب ,22%,-84%,4.21%,4.60%,-5.77%,2,,
9556.SR, -   , -   , 24.10 ,4.78%, 26.70 , 16.80 ," 1,147,965,808 ",12/01/2023, 22.31 , غير متوفر ," 47,757,068 ",21%, 4.49 ,18%,-13%, 25.83 ,31%,18%,0.83%,0.00%,100.40%,2,,
2300.SR, صناعة الورق , تداول , 63.20 ,14.08%, 83.80 , 48.30 ," 2,342,824,000 ",04/03/2010, 22.57 , 16.72 ," 103,665,685 ",56%, 2.78 ,17%,-58%, سالب ,21%,17%,1.91%,42.94%,0.00%,2,,
4013.SR, سليمان الحبيب , تداول , 283.60 ,5.04%, 321.00 , 256.00 ," 99,260,000,000 ",17/03/2020, 42.90 , غير متوفر ," 2,315,287,109 ",13%, 8.86 ,18%,-182%, سالب ,34%,14%,2.12%,70.90%,14.39%,2,,
4322.SR, رتال , تداول , 16.96 ,1.56%, 18.24 , 8.76 ," 8,467,183,701 ",03/07/2022, 32.00 , 13.57 ," 266,125,914 ",32%, 4.10 ,51%,80%, سالب ,34%,19%,1.89%,60.12%,-20.00%,2,,
9517.SR, موبي للصناعة , نمو , 14.00 ,-11.62%, 16.98 , 10.00 ," 700,000,000 ",21/09/2021, 20.29 , غير متوفر ," 20,726,400 ",118%, 4.52 ,4%,540%, 22.14 ,30%,18%,2.14%,180.93%,150.00%,2,,
9580.SR, الراشد للصناعة , نمو , 50.50 ,-4.72%, 60.10 , 30.40 ," 404,000,000 ",12/09/2023, 13.25 , غير متوفر ," 25,038,671 ",29%, 2.85 ,16%,1%, 16.08 ,20%,21%,1.98%,0.00%,-25.00%,2,,
3020.SR, أسمنت اليمامة , تداول , 36.95 ,-3.02%, 40.55 , 28.80 ," 7,482,375,000 ",03/03/2010, 17.76 , 13.69 ," 420,705,960 ",38%, 6.38 ,25%,-106%, سالب ,9%,6%,2.71%,47.56%,-2.22%,1,,
9537.SR, أمواج الدولية , نمو , 40.35 ,-5.06%, 53.50 , 35.10 ," 242,100,000 ",21/07/2022, 24.31 , غير متوفر ," 9,958,486 ",-45%, 1.04 ,-7%,125%, 4.23 ,5%,6%,2.48%,63.78%,0.00%,1,,
9542.SR, كير , نمو , 4.23 ,-4.94%, 6.75 , 3.30 ," 507,600,000 ",21/07/2022, 26.44 , غير متوفر ," 19,039,463 ",-53%, 1.84 ,22%,62%, 13.04 ,8%,8%,1.77%,24.49%,-62.72%,1,,
9546.SR, نبع الصحة , نمو , 66.40 ,-13.54%, 118.80 , 64.00 ," 697,200,000 ",13/09/2022, 18.50 , غير متوفر ," 37,656,710 ",95%, 4.76 ,41%,-150%, سالب ,13%,9%,0.45%,4.14%,0.00%,1,,
1834.SR, سماسكو , تداول , 6.60 ,4.27%, 11.36 , 5.35 ," 2,640,000,000 ",12/06/2024, غير متوفر , 10.15 ," 126,423,800 ",-24%, 1.39 ,4%,-21%, 23.75 ,22%,0%,3.79%,0.00%,-100.00%,0,,
4323.SR, سمو , تداول , 43.45 ,-7.94%, 62.50 , 37.00 ," 2,172,500,000 ",01/07/2021, 20.21 , غير متوفر ," 106,604,000 ",3%, 5.06 ,57%,-56%, 31.73 ,19%,0%,2.30%,0.00%,-100.00%,1,,
9570.SR, تام التنموية , نمو , 160.00 ,-8.47%, 233.00 , 146.00 ," 527,040,000 ",14/06/2023, 11.15 , 7.05 ," 57,746,847 ",45%, 1.72 ,28%,-109%, سالب ,46%,38%,0.77%,16.75%,88.53%,1,,
9549.SR, البابطين الغذائية , نمو , 37.00 ,-15.91%, 53.20 , 37.00 ," 125,800,000 ",01/11/2022, 18.41 , غير متوفر ," 8,831,600 ",-60%, 0.73 ,14%,47%, 10.06 ,12%,8%,1.35%,22.84%,-50.00%,1,,
2310.SR, سبكيم العالمية , تداول , 19.10 ,-5.91%, 34.55 , 18.24 ," 13,846,226,030 ",03/03/2010, 32.93 , غير متوفر ," 426,139,000 ",-64%, 1.96 ,-7%,-56%, 21.63 ,3%,6%,5.24%,170.16%,-50.57%,1,,
9594.SR, المداواة , نمو , 17.64 ,6.91%, 18.00 , 12.02 ," 418,950,000 ",25/02/2024, 39.20 , غير متوفر ," 10,822,060 ",80%, 5.63 ,27%,489%, سالب ,18%,14%,40.48%,213.31%,0.00%,1,,
8250.SR, جي آي بي , تداول , 25.95 ,-1.14%, 40.30 , 23.88 ," 1,362,375,000 ",04/03/2010, 13.88 , 8.95 ," 101,497,000 ",-24%, 0.96 ,-8%,-62%, 20.86 ,10%,8862%,5.78%,77.59%,215.00%,1,,
4016.SR, أفالون فارما , تداول , 128.00 ,-3.18%, 156.00 , 107.00 ," 2,560,000,000 ",27/02/2024, غير متوفر , 17.78 ," 79,850,157 ",21%, 6.50 ,16%,-66%, 243.42 ,24%,21%,0.59%,0.00%,-67.54%,1,,
9527.SR, ألف ميم ياء , نمو , 120.60 ,-9.32%, 149.80 , 56.50 ," 844,200,000 ",21/03/2022, 22.29 , غير متوفر ," 47,352,246 ",26%, 3.76 ,16%,353%, سالب ,29%,24%,1.66%,55.03%,14.20%,1,,
4336.SR, ملكية ريت , تداول , 5.52 ,10.18%, 6.02 , 4.60 ," 572,788,265 ",14/03/2018, 42.46 , غير متوفر ," 16,234,097 ",-11034%, 4.97 ,20%,-195%, 5.46 ,2%,3%,5.80%,300.01%,-34.97%,1,,
4330.SR, الرياض ريت , تداول , 6.14 ,-0.81%, 8.00 , 5.82 ," 1,054,220,194 ",13/11/2016, غير متوفر , غير متوفر ," (7,289,406)",-76%, 3.90 ,23%,42%, 8.46 ,-1%,0%,5.05%,حققت خسائر,-45.06%,1,,
2222.SR, أرامكو السعودية , تداول , 25.75 ,-0.19%, 30.25 , 24.60 ," 6,227,758,525,000 ",11/12/2019, 15.80 , 14.66 ," 393,891,000,000 ",-13%, 3.46 ,-3%,-16%, 19.46 ,26%,18%,6.90%,118.29%,25.96%,1,,
4335.SR, مشاركة ريت , تداول , 4.84 ,7.56%, 5.35 , 4.05 ," 425,920,000 ",01/10/2017, غير متوفر , غير متوفر ," (23,541,082)",-177%, 3.91 ,6%,-88%, 21.97 ,-3%,2%,4.96%,حققت خسائر,-55.00%,1,,
4345.SR, الإنماء ريت للتجزئة , تداول , 4.67 ,2.41%, 5.16 , 4.33 ," 551,060,000 ",06/08/2018, غير متوفر , غير متوفر ," (70,206,914)",-184%, 12.51 ,6%,190%, 15.30 ,-9%,0%,6.85%,حققت خسائر,16.62%,1,,
1831.SR, مهارة , تداول , 5.72 ,-3.05%, 7.70 , 4.96 ," 2,559,700,000 ",19/06/2019, 20.43 , غير متوفر ," 122,185,551 ",-37%, 1.15 ,12%,3%, 115.86 ,21%,16%,2.62%,51.18%,-32.31%,1,,
4030.SR, البحري , تداول , 29.95 ,-4.01%, 32.50 , 24.96 ," 22,111,523,438 ",04/03/2010, 10.19 , 37.44 ," 2,169,392,000 ",34%, 2.33 ,8%,-201%, سالب ,17%,13%,1.84%,18.72%,65.00%,1,,
7030.SR, زين السعودية , تداول , 12.92 ,18.10%, 13.36 , 10.14 ," 11,611,581,264 ",04/03/2010, 19.58 , 12.92 ," 596,368,000 ",-53%, 1.12 ,5%,632%, 9.87 ,6%,7%,3.87%,75.14%,0.00%,1,,
2223.SR, لوبريف , تداول , 100.40 ,-1.57%, 153.00 , 92.10 ," 16,892,807,020 ",28/12/2022, 17.37 , 13.32 ," 972,028,000 ",-36%, 1.68 ,6%,-24%, 10.63 ,22%,17%,6.65%,148.86%,-14.04%,1,,
3050.SR, أسمنت الجنوب , تداول , 31.65 ,0.16%, 40.20 , 29.65 ," 4,431,000,000 ",04/03/2010, 18.19 , 14.45 ," 243,746,336 ",25%, 4.74 ,-13%,-554%, سالب ,7%,8%,3.63%,78.62%,59.08%,1,,
9539.SR, أقاسيم , نمو , 7.40 ,-26.73%, 12.88 , 5.00 ," 185,000,000 ",31/05/2022, 19.47 , غير متوفر ," 9,374,792 ",68%, 1.09 ,7%,-831%, سالب ,16%,17%,2.70%,0.00%,0.00%,0,,
4050.SR, ساسكو , تداول , 62.90 ,-5.13%, 91.40 , 48.40 ," 4,403,000,000 ",04/03/2010, 99.84 , غير متوفر ," 44,212,614 ",-58%, 0.43 ,12%,-14%, 15.51 ,5%,0%,1.42%,141.44%,-100.00%,0,,
9571.SR, مناولة , نمو , 57.50 ,-10.85%, 86.00 , 55.00 ," 115,000,000 ",11/09/2023, 23.19 , غير متوفر ," 3,938,147 ",-49%, 0.98 ,-15%,-1%, 13.59 ,0%,0%,1.30%,0.00%,-100.00%,0,,
9598.SR, المحافظة للتعليم , نمو , 23.10 ,-12.83%, 29.20 , 18.00 ," 184,800,000 ",26/03/2024, 17.63 , غير متوفر , Unavailable ,47%, 6.35 ,11%,-252%, سالب ,10%,6%,2.16%,0.00%,0.00%,0,,
5110.SR, كهرباء السعودية , تداول , 15.06 ,-5.28%, 19.80 , 13.96 ," 62,748,902,613 ",03/03/2010, غير متوفر , 10.68 ," 6,866,943,000 ",-33%, 0.71 ,18%,-9273%, سالب ,3%,3%,4.65%,42.54%,1.58%,0,,
6014.SR, الىمار , تداول , 71.30 ,0.00%, 95.90 , 65.00 ," 1,803,996,950 ",23/08/2022, 47.22 , غير متوفر ," 38,335,348 ",-34%, 2.02 ,-10%,-46%, 24.56 ,13%,8%,2.95%,125.81%,-29.57%,0,,
3007.SR, الواحة , تداول , 29.85 ,-0.17%, 54.30 , 26.30 ," 671,625,000 ",17/09/2017, 28.70 , غير متوفر ," 12,077,389 ",-64%, 1.23 ,-5%,127%, 7.80 ,4%,0%,4.52%,251.50%,-100.00%,0,,
2281.SR, تنمية , تداول , 108.20 ,-9.08%, 152.00 , 103.80 ," 2,164,000,000 ",01/12/2021, 22.59 , 13.05 ," 95,822,173 ",26%, 0.84 ,22%,-90%, سالب ,15%,7%,1.76%,0.00%,-35.85%,0,,
4005.SR, رعاية , تداول , 146.80 ,-7.09%, 227.60 , 139.20 ," 6,560,492,000 ",13/03/2013, 22.04 , 11.91 ," 298,163,301 ",24%, 5.07 ,20%,-102%, سالب ,19%,13%,1.36%,0.00%,100.00%,0,,
4014.SR, دار المعدات , تداول , 40.20 ,-6.18%, 59.70 , 34.70 ," 1,206,000,000 ",08/03/2022, 28.31 , 16.75 ," 24,608,000 ",-39%, 1.37 ,10%,284%, 4.32 ,5%,0%,2.49%,0.00%,0.00%,0,,
2083.SR, مرافق , تداول , 46.00 ,8.24%, 67.90 , 40.60 ," 11,500,000,000 ",28/11/2022, 657.14 , 9.65 ," 17,150,000 ",-97%, 1.67 ,8%,152%, 6.06 ,0%,2%,0.76%,2113.31%,-34.41%,0,,
4331.SR, الجزيرة ريت , تداول , 15.26 ,5.68%, 18.38 , 13.04 ," 180,068,000 ",15/02/2017, 19.32 , غير متوفر ," 11,455,225 ",-34%, 28.38 ,-1%,22%, 44.69 ,10%,5%,2.62%,42.94%,16.49%,0,,
8012.SR, جزيرة تكافل , تداول , 14.28 ,-0.42%, 20.30 , 12.50 ," 942,480,000 ",24/06/2014, 26.44 , غير متوفر ," 37,203,000 ",-16%, 2.30 ,3%,742%, 11.88 ,4%,13117%,2.10%,0.00%,0.00%,0,,
1301.SR, أسلاك , تداول , 24.72 ,-1.12%, 35.75 , 21.80 ," 694,137,600 ",17/01/2012, 22.89 , غير متوفر ," 16,218,709 ",-21%, 0.98 ,-11%,669%, 8.78 ,4%,0%,3.03%,0.00%,-100.00%,0,,
3004.SR, أسمنت الشمالية , تداول , 8.79 ,-1.90%, 10.10 , 8.28 ," 1,582,200,000 ",06/02/2013, 15.70 , 9.88 ," 100,799,650 ",79%, 2.54 ,-10%,-121%, سالب ,4%,3%,2.84%,89.29%,100.00%,0,,
9516.SR, غاز , نمو , 48.50 ,-3.00%, 70.00 , 41.70 ," 242,500,000 ",26/05/2022, 80.83 , غير متوفر ," 4,469,700 ",0%, 2.45 ,2%,106%, 404.98 ,6%,6%,1.03%,0.00%,0.00%,0,,
4338.SR, الأهلي ريت 1 , تداول , 7.12 ,-0.97%, 8.40 , 6.80 ," 979,000,000 ",21/01/2018, 29.67 , غير متوفر ," 33,238,000 ",-39%, 5.37 ,-1%,22%, 45.84 ,3%,4%,7.02%,310.26%,-21.43%,0,,
2282.SR, نقي , تداول , 55.30 ,-4.49%, 72.50 , 51.50 ," 1,106,000,000 ",17/08/2022, 36.14 , غير متوفر ," 31,386,171 ",-12%, 4.83 ,-13%,-45%, 68.54 ,12%,12%,0.90%,31.86%,300.00%,0,,
9569.SR, آل منيف , نمو , 6.95 ,-0.71%, 8.68 , 4.80 ," 264,100,000 ",07/06/2023, 15.44 , غير متوفر ," 20,815,444 ",-15%, 1.12 ,-23%,731%, 55.10 ,18%,17%,2.88%,12.90%,0.00%,0,,
9563.SR, بناء , نمو , 41.40 ,7.12%, 41.40 , 25.42 ," 248,400,000 ",22/03/2023, غير متوفر , غير متوفر ," 4,631,769 ",-37%, 0.65 ,9%,-251%, 10.32 ,6%,7%,1.81%,0.00%,-95.87%,0,,
1302.SR, بوان , تداول , 54.80 ,17.34%, 63.50 , 37.35 ," 3,288,000,000 ",24/06/2014, 30.96 , 22.83 ," 106,032,000 ",-22%, 1.09 ,-10%,-76%, 73.81 ,12%,7%,1.09%,82.06%,11.55%,0,,
4320.SR, الأندلس , تداول , 22.28 ,-2.11%, 28.50 , 19.68 ," 2,079,465,924 ",12/01/2016, غير متوفر , غير متوفر ," (31,602,189)",-187%, 8.08 ,10%,-6%, 18.12 ,-3%,1%,1.12%,حققت خسائر,-49.79%,-1,,
6015.SR, أمريكانا , تداول , 2.20 ,6.28%, 3.48 , 1.78 ," 4,930,031,166 ",20/12/2022, 31.43 , غير متوفر ," 158,759,000 ",-39%, 2.24 ,-9%,-21%, 15.98 ,41%,16%,3.65%,113.02%,73.70%,-1,,
1320.SR, أنابيب السعودية , تداول , 54.00 ,-12.90%, 87.20 , 48.40 ," 2,729,284,794 ",04/03/2010, 12.80 , 11.27 ," 200,844,978 ",4%, 1.67 ,22%,-102%, سالب ,25%,16%,1.37%,0.00%,0.00%,-1,,
9552.SR, قمة السعودية , نمو , 7.22 ,-10.86%, 8.89 , 5.70 ," 288,800,000 ",25/12/2022, 72.20 , غير متوفر ," 4,028,998 ",-87%, 1.94 ,-24%,-113%, 61.48 ,6%,5%,8.31%,178.70%,260.00%,-1,,
9518.SR, المركز الكندي الطبي , نمو , 6.14 ,-9.71%, 8.37 , 5.36 ," 472,780,000 ",18/08/2021, 43.86 , غير متوفر ," 11,078,908 ",0%, 4.45 ,24%,-43%, 71.46 ,12%,14%,1.47%,132.05%,-50.00%,-1,,
8170.SR, الاتحاد , تداول , 15.22 ,3.40%, 26.06 , 12.50 ," 761,000,000 ",04/03/2010, 9.51 , غير متوفر ," 49,134,000 ",-48%, 0.53 ,16%,-227%, سالب ,7%,41%,3.55%,54.95%,0.00%,-1,,
4292.SR, عطاء , تداول , 68.80 ,2.84%, 83.80 , 55.70 ," 2,895,600,392 ",31/07/2019, 41.20 , غير متوفر ," 70,263,968 ",-7%, 4.39 ,2%,-63%, 28.32 ,9%,6%,1.82%,143.67%,10.00%,-1,,
2381.SR, الحفر العربية , تداول , 87.10 ,-6.04%, 156.20 , 79.90 ," 7,751,900,000 ",09/11/2022, 24.13 , 10.08 ," 321,364,403 ",-47%, 2.14 ,4%,67%, سالب ,5%,8%,3.10%,107.30%,53.14%,-2,,
7200.SR, ام آي اس , تداول , 131.00 ,0.77%, 207.00 , 118.00 ," 3,930,000,000 ",24/04/2019, 31.57 , غير متوفر ," 119,776,024 ",-85%, 3.15 ,85%,-147%, سالب ,32%,7%,2.44%,0.00%,32.98%,-2,,
9545.SR, الدولية , نمو , 6.27 ,2.62%, 6.70 , 3.83 ," 313,500,000 ",22/08/2022, 69.67 , غير متوفر ," 3,936,544 ",-41%, 2.23 ,45%,146%, سالب ,9%,8%,0.40%,0.00%,-100.00%,-2,,
4011.SR, لازوردي , تداول , 13.64 ,6.56%, 16.66 , 11.60 ," 784,300,000 ",29/06/2016, 64.95 , 17.95 ," 11,700,333 ",-62%, 0.37 ,10%,17%, سالب ,4%,30%,2.20%,153.31%,-5.34%,-3,,
4082.SR, مرنة , تداول , 11.16 ,-3.79%, 12.18 , 9.90 ," 797,142,841 ",21/06/2023, 69.75 , غير متوفر ," 16,558,232 ",-31%, 4.09 ,5%,-13%, سالب ,2%,0%,3.14%,147.66%,0.00%,-3,,
9628.SR, لمسات , نمو ,,,,,,,,,,,,,,,,,,,,,,